name,gender
Ãbas,male
Ãbdijus,male
Abdònas,male
Abdulà,male
Ãbelis,male
Ãbis,male
Abraõmas,male
Abrõmas,male
Achìlas,male
Achmèdas,male
Adalbèrtas,male
Ãdamas,male
Adãnas,male
Ãdas,male
Adáuktas,male
Adeodãtas,male
Ãdis,male
Ãdolfas,male
Adolfìnas,male
Ãdolis,male
Ãdolius,male
Adõmas,male
Adònis,male
Adriãnas,male
Adrijõnas,male
Ãdrijus,male
Ãdris,male
Ãdrius,male
Ãdžius,male
Afanãsijas,male
Afanãsijus,male
Afònijus,male
Agapìtas,male
Agãtas,male
Agatònas,male
Ãgnas,male
Agnètas,male
Ãgnis,male
Ãgnius,male
Aidãnas,male
Áidas,male
Áidijus,male
Aĩdis,male
Aĩdoras,male
Aĩgardas,male
Aĩgaudas,male
Aĩgintas,male
Aĩgirdas,male
Aigìris,male
Aĩgis,male
Aigùstas,male
Ãijus,male
Aĩmanas,male
Aĩmantas,male
Aĩmas,male
Aĩmedas,male
Aĩmintas,male
Aĩmis,male
Aĩmius,male
Aĩnaras,male
Aĩnas,male
Aĩnis,male
Aĩnius,male
Aĩnoras,male
Aĩras,male
Aĩrijus,male
Aĩrimas,male
Aĩris,male
Aĩrius,male
Aĩsetas,male
Áistas,male
Áistijus,male
Áistis,male
Aĩstris,male
Aĩstrius,male
Aĩtaras,male
Áitvaras,male
Aĩtvydas,male
Aĩvaldas,male
Áivaras,male
Aĩvardas,male
Áivaris,male
Aĩvas,male
Aĩvis,male
Aĩvydas,male
Ãjeras,male
Akãcijus,male
Akmė́jus,male
Ãkmis,male
Akrìsijus,male
Akvìlas,male
Akvìlijus,male
Akvilìnas,male
Akvìlius,male
Alãnas,male
Ãlantas,male
Álbertas,male
Albìnas,male
Áldas,male
Áldijus,male
Al̃dis,male
Aldõnas,male
Aldõnis,male
Al̃džius,male
Alechándras,male
Aleksándras,male
Aleksándrijus,male
Ãleksas,male
Aleksèjus,male
Alèksijus,male
Alẽksis,male
Alẽksius,male
Aleksỹs,male
Alènas,male
Álfas,male
Álfijus,male
Álfonsas,male
Álfredas,male
Al̃gandas,male
Al̃gardas,male
Al̃gaudas,male
Al̃gedas,male
Algė́jus,male
Algìmantas,male
Algìmas,male
Algìmintas,male
Al̃ginas,male
Al̃gintas,male
Al̃girdas,male
Al̃girtas,male
Al̃gis,male
Algìvidas,male
Algỹs,male
Al̃gminas,male
Algùtis,male
Al̃gvidas,male
Alìcijus,male
Ãlijus,male
Alìmantas,male
Ãlis,male
Ãlius,male
Alìvydas,male
Alỹs,male
Alỹzas,male
Al̃kantas,male
Al̃kas,male
Al̃kis,male
Al̃manas,male
Al̃mantas,male
Álmas,male
Al̃medas,male
Al̃minas,male
Al̃mindas,male
Al̃mintas,male
Al̃mis,male
Al̃monas,male
Aloỹzas,male
Al̃tautas,male
Al̃vaidas,male
Al̃vainas,male
Álvaras,male
Al̃vidas,male
Al̃vilas,male
Álvinas,male
Al̃virdas,male
Al̃vis,male
Alvìtas,male
Alvìtis,male
Al̃vydas,male
Alvỹras,male
Alvỹs,male
Amãdas,male
Amadė̃jus,male
Amãlijus,male
Amándas,male
Ambraziẽjus,male
Amèlijus,male
Amìnas,male
Amìras,male
Amòsas,male
Anãnijus,male
Ãnas,male
Anastãsas,male
Anastãsijus,male
Anastãsis,male
Anastãzas,male
Anastãzijus,male
Anastãzius,male
Anatòlijus,male
Anatòlis,male
Anatòlius,male
Áncas,male
Anchèlas,male
Añcis,male
Añcius,male
Andãjus,male
Andójas,male
Ándras,male
Andrė́jas,male
Andrė̃jus,male
Andriẽjus,male
Añdrijus,male
Ándris,male
Añdrius,male
Andromèdas,male
Anèlius,male
Anfilòfijus,male
Ángelas,male
Angèlius,male
Anìcas,male
Anicètas,male
Anìcijus,male
Anìcis,male
Anìcius,male
Ãnijus,male
Ãnis,male
Ánsas,male
Ánsis,male
Antãnas,male
Antanìnas,male
Ántas,male
Antė̃jus,male
Antìpijus,male
Antònas,male
Antònijus,male
Antònis,male
Anùpras,male
Anzel̃mas,male
Anzel̃mis,male
Apolinãras,male
Apolinãrijus,male
Apòlius,male
Apolònas,male
Apolònijus,male
Arãnas,male
Ãras,male
Ar̃butas,male
Archìpas,male
Arètas,male
Arètis,male
Arė́jas,male
Arė̃jus,male
Ar̃gailas,male
Ar̃gaudas,male
Argìmantas,male
Ar̃gintas,male
Ariãnas,male
Ariẽlis,male
Ariẽlius,male
Ãrijas,male
Ãrijus,male
Arìmanas,male
Arìmantas,male
Arìmas,male
Ãris,male
Arìstas,male
Aristė́jas,male
Aristė̃jus,male
Aristìdas,male
Aristìdis,male
Aristòtelis,male
Ãrius,male
Arkãdijus,male
Ármandas,male
Ar̃mantas,male
Ármas,male
Ar̃medas,male
Ar̃minas,male
Armìnijus,male
Ar̃mintas,male
Ar̃mis,male
Ar̃mondas,male
Árnas,male
Arnètas,male
Ar̃nis,male
Ar̃nius,male
Árnoldas,male
Árnulfas,male
Arònas,male
Arsènas,male
Arsènijus,male
Ártas,male
Ar̃tautas,male
Artèmijus,male
Artemònas,male
Ar̃tis,male
Artū́ras,male
Arū́nas,male
Ar̃vaidas,male
Ar̃valdas,male
Ar̃vidas,male
Ar̃vijus,male
Ar̃vilas,male
Arvìlis,male
Ar̃vinas,male
Ar̃vis,male
Ar̃vydas,male
Ar̃vystas,male
Arvýdijus,male
Askãnijas,male
Askãnijus,male
Ãstas,male
Astèras,male
Astèrijus,male
Ãstijus,male
Ãstis,male
Astrìdas,male
Ãstrius,male
Ãšmantas,male
Atãnas,male
Atanãzas,male
Ãtas,male
Ãtijus,male
Ãtikas,male
Ãtis,male
Aũdangas,male
Aũdas,male
Audẽnis,male
Áudijus,male
Aũdingas,male
Aũdis,male
Audomãras,male
Aũdras,male
Áudrijus,male
Audrìmantas,male
Aũdris,male
Aũdrius,male
Audrõnijus,male
Audrõnis,male
Audrõnius,male
Audrū́nas,male
Audrỹs,male
Aũdvydas,male
Aũdvydis,male
Aũgantas,male
Áugas,male
Augẽnis,male
Augìmantas,male
Aũginas,male
Aũgintas,male
Aũgirdas,male
Aũgis,male
Aũgius,male
Aũgmantas,male
Aũgminas,male
Augùrijus,male
Augùstas,male
Augustìnas,male
Augùstis,male
Augū́nas,male
Aũgvidas,male
Aũgvydas,male
Augỹs,male
Aũjotas,male
Áuksas,male
Aũksis,male
Aũksius,male
Auksỹs,male
Auksuõlis,male
Aukštójas,male
Áuktumas,male
Aũmantas,male
Aũmas,male
Áuras,male
Aurèlijus,male
Aurèlius,male
Aurė̃jus,male
Aurìmantas,male
Aũrimas,male
Aũris,male
Aũrius,male
Aurỹs,male
Áuseklis,male
Áustas,male
Austė́jas,male
Austė́jus,male
Áustis,male
Aũšmantas,male
Aũšras,male
Aušrìdas,male
Aũšrimas,male
Aušrìnis,male
Aũšris,male
Aũšrius,male
Aušrỹs,male
Aũštaras,male
Aũšvidas,male
Aũšvilas,male
Aũšvydas,male
Aũvydas,male
Avèlijus,male
Avèrkijus,male
Avrãmijus,male
Azãrijus,male
Ãzijus,male
Ą́žuolas,male
Ąžuõlis,male
Adalfas,male
Adelbertas,male
Adelpas,male
Adesijus,male
Adilijus,male
Admundas,male
Adolpas,male
Aduardas,male
Adulfas,male
Aduolius,male
Advardas,male
Agidijus,male
Agydijus,male
Akanijus,male
Akimfijus,male
Aksaveras,male
Aksencijus,male
Aksenijus,male
Aksentijus,male
Aksientijus,male
Albynas,male
Alegijus,male
Alėgijus,male
Alėksandras,male
Aleksendras,male
Alėksis,male
Alfrėdas,male
Alfridas,male
Algemantas,male
Algymantas,male
Alidijus,male
Aligijus,male
Alimpijus,male
Alioyzas,male
Alpas,male
Alponas,male
Alponsas,male
Alpridas,male
Aluizas,male
Aluyzas,male
Ambražiejus,male
Ambroziejus,male
Ancetas,male
Andzelmas,male
Angelbertas,male
Anielius,male
Anufras,male
Anufrijus,male
Anūpras,male
Anželmas,male
Apalinaras,male
Apolionas,male
Apolionijus,male
Arestas,male
Arymantas,male
Aristydas,male
Arloldas,male
Arsanofijus,male
Arsėnijus,male
Arsentijus,male
Artėmijus,male
Artiomijus,male
Arunas,male
Astafijus,male
Augenijus,male
Augėnijus,male
Augenius,male
Augienijus,male
Augienius,male
Aurėlijus,male
Austratijus,male
Auzebijus,male
Avdronis,male
Avgenijus,male
Avidijus,male
Avsentijus,male
Adam,male
Adan,male
Adolf,male
Adolfs,male
Adom,male
Adrian,male
Adriano,male
Adrians,male
Aeugenijus,male
Afanasij,male
Aidan,male
Aiman,male
Aimant,male
Ainar,male
Aivar,male
Aivars,male
Alan,male
Albert,male
Alberto,male
Albin,male
Alejandro,male
Aleks,male
Aleksandr,male
Aleksej,male
Alen,male
Alens,male
Alex,male
Alexandras,male
Alfons,male
Alfred,male
Algimant,male
Algimants,male
Algird,male
Allan,male
Almant,male
Aloyz,male
Alvaro,male
Alvids,male
Alvin,male
Amand,male
Amin,male
Amir,male
Anatolij,male
Anatolijs,male
Andrejas,male
Andriej,male
Anicet,male
Anthony,male
Anton,male
Antonij,male
Antonio,male
Antons,male
Anzelm,male
Apolinarij,male
Apollon,male
Aran,male
Arian,male
Ariel,male
Arkadij,male
Arman,male
Armand,male
Armando,male
Armant,male
Armin,male
Armins,male
Arn,male
Arnold,male
Aron,male
Arsen,male
Arsenij,male
Arsenijs,male
Artemij,male
Arthur,male
Artūr,male
Arūn,male
Arun,male
Arvid,male
Arvyd,male
Arvids,male
Arvin,male
Athan,male
Audrunas,male
August,male
Augustin,male
Aurelij,male
Aurelio,male
Ažuolas,male
Azuolas,male
Ãbė,female
Abigáilė,female
Ãbija,female
Abrìlė,female
Achilà,female
Achmedà,female
Adà,female
Adalbèrta,female
Adãlija,female
Adelà,female
Adeláida,female
Adèlė,female
Adèlija,female
Adelinà,female
Ãdė,female
Adìlija,female
Ãdolė,female
Ãdolfa,female
Adolfinà,female
Adonà,female
Adònė,female
Ãdrė,female
Adrianà,female
Ãdrija,female
Afanãsija,female
Ãfija,female
Afrodità,female
Afrodìtė,female
Agà,female
Agãfija,female
Agãlija,female
Agãpė,female
Agãpija,female
Agapità,female
Agatà,female
Agãtė,female
Agdãlija,female
Agedà,female
Ãgė,female
Ãgija,female
Agìlė,female
Aglajà,female
Agluonà,female
Agnà,female
Agnetà,female
Agnètė,female
Ãgnė,female
Agnietà,female
Agniẽtė,female
Ãgnija,female
Agotà,female
Agõtė,female
Agrà,female
Agripinà,female
Aguonà,female
Áida,female
Aidanà,female
Aĩdė,female
Áidija,female
Aidìlė,female
Aidorà,female
Aigà,female
Aigìlė,female
Aĩginta,female
Aigùstė,female
Ãija,female
Aimà,female
Aimanà,female
Aimantà,female
Aĩmantė,female
Aĩmeda,female
Aĩmė,female
Ainà,female
Ainarà,female
Aĩnė,female
Aĩnora,female
Airà,female
Aĩrė,female
Aĩrija,female
Airimà,female
Aisetà,female
Aistà,female
Áistė,female
Aistė́ja,female
Aistidà,female
Áistija,female
Aistrà,female
Aĩstrė,female
Aistrė́ja,female
Aità,female
Aitarà,female
Aitrà,female
Aivà,female
Aivaldà,female
Áivara,female
Aĩvė,female
Aĩvidė,female
Aivìlė,female
Aĩvina,female
Ãkmė,female
Akmė́ja,female
Akmìlė,female
Ãksija,female
Akvilà,female
Akvìlė,female
Akvìlija,female
Akvilinà,female
Alà,female
Alanà,female
Alãnija,female
Alantà,female
Ãlantė,female
Álba,female
Álberta,female
Albertinà,female
Albinà,female
Albìnė,female
Álda,female
Al̃dė,female
Áldija,female
Aldonà,female
Aldõnė,female
Aldõnija,female
Aleksà,female
Aleksándra,female
Aleksándrija,female
Ãleksė,female
Alèksija,female
Alenà,female
Alèsija,female
Aletà,female
Ãlė,female
Álfa,female
Álfija,female
Álfonsa,female
Álfonsė,female
Álfreda,female
Algà,female
Algandà,female
Algaudà,female
Al̃gaudė,female
Al̃geda,female
Algẽnė,female
Al̃gė,female
Algidà,female
Algìdė,female
Algìdija,female
Algimà,female
Algìmanta,female
Algìmantė,female
Algiminà,female
Al̃gina,female
Algìnija,female
Al̃ginta,female
Al̃gintė,female
Al̃gira,female
Algirdà,female
Al̃girdė,female
Algità,female
Algydà,female
Al̃gydė,female
Algýtė,female
Al̃gmina,female
Algundà,female
Algùtė,female
Algvidà,female
Al̃gvina,female
Alìcija,female
Alijà,female
Alìmana,female
Alinà,female
Aliòdija,female
Alisà,female
Alìsija,female
Aliùzija,female
Alìvija,female
Álma,female
Almanà,female
Al̃manė,female
Almantà,female
Al̃mantė,female
Al̃meda,female
Al̃mė,female
Almìlė,female
Al̃mina,female
Al̃minė,female
Al̃minta,female
Al̃mintė,female
Almyrà,female
Almonà,female
Al̃monė,female
Al̃muonė,female
Alnà,female
Al̃nora,female
Alòdija,female
Aloyzà,female
Alòndra,female
Alsà,female
Altajà,female
Altė́ja,female
Aluonà,female
Álva,female
Al̃vė,female
Alvidà,female
Alvìdija,female
Alvìlė,female
Alvinà,female
Alvìnė,female
Alvità,female
Alvìtė,female
Alvydà,female
Al̃vydė,female
Alvyrà,female
Alvỹrė,female
Amà,female
Amadė́ja,female
Amajà,female
Amãlė,female
Amãlija,female
Amánda,female
Amarìlė,female
Ambròzija,female
Amèlė,female
Amèlija,female
Ãmija,female
Amìlė,female
Amìlija,female
Aminà,female
Amìnta,female
Amirà,female
Amità,female
Ámna,female
Anà,female
Anabelà,female
Anabèlė,female
Anãlija,female
Anastãsija,female
Anastãzė,female
Anastãzija,female
Anatòlija,female
Añcė,female
Anchelà,female
Ánda,female
Ándė,female
Andója,female
Ándra,female
Añdrė,female
Andrė́ja,female
Andriejà,female
Añdrija,female
Andromedà,female
Andrònija,female
Andžèrija,female
Anelà,female
Anèlė,female
Anetà,female
Anètė,female
Ãnė,female
Ánfija,female
Angelà,female
Angèlė,female
Anicetà,female
Anìcija,female
Ãnija,female
Ãnika,female
Anìkė,female
Anìsija,female
Anità,female
Ánta,female
Antãlija,female
Antanà,female
Antãnė,female
Antaninà,female
Añtarė,female
Antė́ja,female
Antìlija,female
Antònija,female
Anzelmà,female
Ãpfija,female
Apòlė,female
Apolinarà,female
Apolinãrija,female
Apolònė,female
Apolònija,female
Aprèlija,female
Arà,female
Aretà,female
Arètė,female
Arė́ja,female
Ar̃gina,female
Argìnija,female
Ar̃ginta,female
Ar̃gintė,female
Ar̃gira,female
Ariadnà,female
Ariãdnė,female
Arianà,female
Ariãnė,female
Arielà,female
Arièlė,female
Ãrija,female
Arìmana,female
Arìmanta,female
Arìmantė,female
Arìmeda,female
Arinà,female
Aristà,female
Aristė́ja,female
Aristidà,female
Arkãdija,female
Armà,female
Ármanda,female
Armandità,female
Armantà,female
Ar̃mantė,female
Ar̃meda,female
Armenà,female
Armènija,female
Armidà,female
Armìlė,female
Ar̃mina,female
Ar̃minė,female
Armìnija,female
Ar̃minta,female
Ar̃mintė,female
Árna,female
Arnetà,female
Arnètė,female
Ar̃nė,female
Árnolda,female
Aronà,female
Arònė,female
Arsenà,female
Arsènija,female
Árta,female
Ar̃tautė,female
Artemidà,female
Artemìdė,female
Artemìzija,female
Ar̃tė,female
Artū́ra,female
Artū́rė,female
Arū́na,female
Arū́nė,female
Arvaidà,female
Ar̃vaidė,female
Arvidà,female
Ar̃vidė,female
Arvìlė,female
Ar̃vina,female
Arvydà,female
Ar̃vydė,female
Ãsija,female
Askìtrija,female
Aspãzija,female
Astà,female
Asterà,female
Astèrija,female
Ãstė,female
Ãstija,female
Astòrija,female
Astrà,female
Ãstrė,female
Astrė́ja,female
Astridà,female
Ãšara,female
Atà,female
Atãlija,female
Atanãzija,female
Atė́na,female
Atė́nė,female
Ãtija,female
Atìlija,female
Atòlija,female
Audà,female
Aũdangė,female
Audingà,female
Aũdmantė,female
Áudra,female
Aũdrė,female
Audrė́ja,female
Áudrija,female
Audrìmantė,female
Audrinà,female
